id,time,username,sensor,value1,value2,value3
2076,2015-06-14 16:08:20,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,1.5897499,8.619126,-3.3901896
2085,2015-06-14 16:08:35,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,4.0797195,7.1634517,-5.4204726
2090,2015-06-14 16:08:51,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,3.6391866,7.335834,-5.1523223
2094,2015-06-14 16:09:06,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,1.934515,7.1059904,-5.66947
2100,2015-06-14 16:09:21,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,-1.7046716,8.389283,-3.7732618
2105,2015-06-14 16:09:36,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,1.5897499,9.136273,-0.93852705
2110,2015-06-14 16:09:51,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,1.6089035,7.603985,-5.841852
2120,2015-06-14 16:10:06,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,-0.93852705,8.734048,-3.1603463
2125,2015-06-14 16:10:21,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,0.8619126,8.408437,-2.777274
2130,2015-06-14 16:10:37,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,3.122039,6.0142345,-7.3166804
2135,2015-06-14 16:10:52,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,2.96881,5.5737014,-7.603985
2140,2015-06-14 16:11:07,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,2.585738,6.3206925,-7.1059904
2145,2015-06-14 16:11:22,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,2.432509,5.9567738,-7.565677
2155,2015-06-14 16:11:37,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,2.5091233,5.6120086,-7.699753
2160,2015-06-14 16:11:52,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,5.267244,5.2480903,-6.703765
2171,2015-06-14 16:12:07,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,5.650316,5.765238,-5.8801594
2176,2015-06-14 16:12:23,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,5.4204726,6.033388,-5.841852
2180,2015-06-14 16:12:38,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,5.439626,5.899313,-6.0716953
2185,2015-06-14 16:12:53,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,6.0142345,5.267244,-6.0525417
2190,2015-06-14 16:13:08,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,6.129156,5.861006,-5.401319
2196,2015-06-14 16:13:23,CGRTO3HX7D,BOSCH BMC150 Acceleration Sensor,6.14831,5.305551,-5.9759274
