"id","time","username","sensor","value1","value2","value3"
65483,"2015-06-18 12:36:10","YJLDC76AR6","1",1.3024458,5.1523223,7.52737
65488,"2015-06-18 12:36:15","YJLDC76AR6","1",1.283292,5.1140146,7.7572136
65493,"2015-06-18 12:36:20","YJLDC76AR6","1",1.4556746,4.960786,7.872135
65499,"2015-06-18 12:36:25","YJLDC76AR6","1",1.3215994,5.439626,8.90643
65504,"2015-06-18 12:36:30","YJLDC76AR6","1",1.6280571,4.960786,8.063671
65509,"2015-06-18 12:36:36","YJLDC76AR6","1",-0.2681506,6.129156,7.565677
65514,"2015-06-18 12:36:41","YJLDC76AR6","1",-0.49799395,4.8458643,7.086837
65519,"2015-06-18 12:37:53","YJLDC76AR6","1",0.9768343,5.0182467,7.374141
65522,"2015-06-18 12:37:58","YJLDC76AR6","1",0.9576807,5.1140146,8.0445175
65528,"2015-06-18 12:38:03","YJLDC76AR6","1",0.9768343,4.8458643,8.063671
65533,"2015-06-18 12:38:08","YJLDC76AR6","1",1.2641385,4.9416323,7.967903
65538,"2015-06-18 12:38:14","YJLDC76AR6","1",1.2258313,4.8458643,7.967903
65544,"2015-06-18 12:38:19","YJLDC76AR6","1",1.1492168,4.807557,8.101978
65549,"2015-06-18 12:38:24","YJLDC76AR6","1",1.0726024,4.9799395,7.9104424
65554,"2015-06-18 12:38:29","YJLDC76AR6","1",1.1109096,4.8458643,7.967903
65559,"2015-06-18 12:38:34","YJLDC76AR6","1",1.1492168,4.9416323,7.9487495
65564,"2015-06-18 12:38:39","YJLDC76AR6","1",0.6703765,4.999093,7.699753
65569,"2015-06-18 12:38:45","YJLDC76AR6","1",1.0726024,4.6926355,8.159439
65574,"2015-06-18 12:38:50","YJLDC76AR6","1",1.1683705,4.6351743,8.2169
65579,"2015-06-18 12:38:55","YJLDC76AR6","1",1.1300632,4.6351743,8.255207
65583,"2015-06-18 12:39:00","YJLDC76AR6","1",1.3215994,4.55856,8.255207
65588,"2015-06-18 12:39:05","YJLDC76AR6","1",1.6089035,4.711789,8.274361
65593,"2015-06-18 12:39:19","YJLDC76AR6","1",1.4173675,4.367024,8.331821
65598,"2015-06-18 12:39:24","YJLDC76AR6","1",1.091756,4.4819455,8.350976
65604,"2015-06-18 12:39:29","YJLDC76AR6","1",1.2258313,4.4244847,8.350976
65609,"2015-06-18 12:39:34","YJLDC76AR6","1",2.1452048,4.232949,8.389283
