"id","time","username","sensor","value1","value2","value3"
43275,"2015-06-17 16:25:29","0AYLJ4X3T7","1",0.45968673,1.8770541,9.730036
43279,"2015-06-17 16:25:29","0AYLJ4X3T7","1",0.6512229,0.6512229,8.197746
43283,"2015-06-17 16:25:29","0AYLJ4X3T7","1",0.6895301,-0.5746084,9.653421
43288,"2015-06-17 16:25:29","0AYLJ4X3T7","1",0.90021986,0.34476504,9.959879
43292,"2015-06-17 16:25:29","0AYLJ4X3T7","1",0.40222588,1.5705963,10.534488
43296,"2015-06-17 16:25:29","0AYLJ4X3T7","1",0.11492168,3.3518825,9.557653
43300,"2015-06-17 16:25:30","0AYLJ4X3T7","1",0.45968673,3.5817258,7.8529816
43304,"2015-06-17 16:25:30","0AYLJ4X3T7","1",-0.36391866,4.271256,8.42759
43309,"2015-06-17 16:25:30","0AYLJ4X3T7","1",0.40222588,3.9839516,8.42759
43313,"2015-06-17 16:25:30","0AYLJ4X3T7","1",0.2873042,3.5625722,8.734048
43317,"2015-06-17 16:25:30","0AYLJ4X3T7","1",0.4405331,3.715801,8.619126
43321,"2015-06-17 16:25:31","0AYLJ4X3T7","1",0.9959879,3.5434184,8.829816
43325,"2015-06-17 16:25:31","0AYLJ4X3T7","1",0.9768343,3.217807,8.848969
43329,"2015-06-17 16:25:31","0AYLJ4X3T7","1",0.9768343,2.7964275,8.829816
43334,"2015-06-17 16:25:31","0AYLJ4X3T7","1",0.15322891,3.8881836,9.002198
43338,"2015-06-17 16:25:31","0AYLJ4X3T7","1",0.7661445,3.1986535,9.193734
43342,"2015-06-17 16:25:32","0AYLJ4X3T7","1",0.90021986,3.2369606,9.078813
43346,"2015-06-17 16:25:32","0AYLJ4X3T7","1",0.61291564,3.3518825,8.6574335
43350,"2015-06-17 16:25:32","0AYLJ4X3T7","1",0.40222588,3.4859576,8.791509
43355,"2015-06-17 16:25:32","0AYLJ4X3T7","1",0.36391866,3.5817258,8.829816
43359,"2015-06-17 16:25:32","0AYLJ4X3T7","1",0.38307226,3.6583402,8.580819
43363,"2015-06-17 16:25:33","0AYLJ4X3T7","1",0.34476504,3.6774938,8.542512
43367,"2015-06-17 16:25:33","0AYLJ4X3T7","1",0.5363012,3.4859576,8.90643
43371,"2015-06-17 16:25:33","0AYLJ4X3T7","1",0.38307226,3.3327289,8.791509
43376,"2015-06-17 16:25:33","0AYLJ4X3T7","1",0.51714754,3.3327289,8.963891
43381,"2015-06-17 16:25:33","0AYLJ4X3T7","1",0.5363012,3.4859576,8.7532015
43385,"2015-06-17 16:25:34","0AYLJ4X3T7","1",0.47884035,3.3518825,8.714894
43389,"2015-06-17 16:25:34","0AYLJ4X3T7","1",0.45968673,3.2561142,8.983045
43393,"2015-06-17 16:25:34","0AYLJ4X3T7","1",0.5363012,3.2561142,8.925584
43397,"2015-06-17 16:25:34","0AYLJ4X3T7","1",0.5363012,3.1986535,8.829816
