"id","time","username","sensor","value1","value2","value3"
62028,"2015-06-17 22:35:03","0LQO4O9VAL","1",6.933608,4.156334,-6.1866174
62033,"2015-06-17 22:35:08","0LQO4O9VAL","1",6.4739213,6.1866174,-5.1140146
62038,"2015-06-17 22:35:13","0LQO4O9VAL","1",5.45878,7.1059904,-4.2904096
62043,"2015-06-17 22:35:18","0LQO4O9VAL","1",5.3247046,6.83784,-4.8267107
62047,"2015-06-17 22:35:23","0LQO4O9VAL","1",5.535394,6.933608,-4.6351743
62052,"2015-06-17 22:35:28","0LQO4O9VAL","1",5.439626,6.7612257,-4.7309427
62057,"2015-06-17 22:35:34","0LQO4O9VAL","1",3.083732,9.040505,-2.2984335
62062,"2015-06-17 22:35:39","0LQO4O9VAL","1",2.5091233,8.714894,-3.2369606
62070,"2015-06-17 22:35:44","0LQO4O9VAL","1",2.0494366,8.293514,-4.9799395
62075,"2015-06-17 22:35:49","0LQO4O9VAL","1",1.2449849,8.63828,-4.003105
62079,"2015-06-17 22:35:54","0LQO4O9VAL","1",2.681506,8.829816,-2.3942018
62084,"2015-06-17 22:35:59","0LQO4O9VAL","1",3.2752678,8.159439,-4.156334
62088,"2015-06-17 22:36:04","0LQO4O9VAL","1",3.122039,8.465898,-3.6774938
62093,"2015-06-17 22:36:09","0LQO4O9VAL","1",2.873042,8.197746,-4.4244847
62098,"2015-06-17 22:40:52","0LQO4O9VAL","1",0.6895301,8.2169,-4.8267107
62103,"2015-06-17 22:40:57","0LQO4O9VAL","1",0.095768064,7.9870567,-5.0757074
62109,"2015-06-17 22:41:02","0LQO4O9VAL","1",0.6703765,8.887277,-3.2561142
62114,"2015-06-17 22:41:07","0LQO4O9VAL","1",1.7238252,7.9104424,-4.999093
62120,"2015-06-17 22:41:17","0LQO4O9VAL","1",1.5897499,7.929596,-5.439626
62126,"2015-06-17 22:41:22","0LQO4O9VAL","1",1.3982137,8.1402855,-4.9224787
62131,"2015-06-17 22:41:27","0LQO4O9VAL","1",1.4748282,8.1402855,-4.9224787
62136,"2015-06-17 22:41:32","0LQO4O9VAL","1",3.964798,8.0445175,-3.2369606
