"id","time","username","sensor","value1","value2","value3"
66078,"2015-06-18 13:40:01","YJLDC76AR6","1",0.49799395,3.1603463,8.90643
66084,"2015-06-18 13:40:08","YJLDC76AR6","1",0.9959879,2.681506,8.734048
66089,"2015-06-18 13:40:13","YJLDC76AR6","1",-2.1260512,1.4173675,9.825804
66094,"2015-06-18 13:40:18","YJLDC76AR6","1",0.34476504,1.5131354,9.289502
66099,"2015-06-18 13:40:24","YJLDC76AR6","1",3.083732,3.3327289,7.1634517
66104,"2015-06-18 13:40:29","YJLDC76AR6","1",2.585738,2.183512,10.840945
66109,"2015-06-18 13:40:34","YJLDC76AR6","1",1.5514427,2.1452048,9.270349
66114,"2015-06-18 13:40:40","YJLDC76AR6","1",0.4405331,5.899313,7.029376
66118,"2015-06-18 13:40:45","YJLDC76AR6","1",0.61291564,2.183512,8.197746
66123,"2015-06-18 13:40:50","YJLDC76AR6","1",-0.21068975,2.4516625,8.00621
66128,"2015-06-18 13:40:55","YJLDC76AR6","1",0.7086837,1.436521,9.634268
66133,"2015-06-18 13:41:00","YJLDC76AR6","1",0.24899697,1.8962077,9.576807
66138,"2015-06-18 13:41:05","YJLDC76AR6","1",-0.038307227,1.6089035,7.73806
66143,"2015-06-18 13:41:11","YJLDC76AR6","1",-0.32561144,1.0151415,10.228029
66148,"2015-06-18 13:41:16","YJLDC76AR6","1",-1.7812861,0.8810662,7.9870567
66153,"2015-06-18 13:41:21","YJLDC76AR6","1",1.5705963,0.4405331,9.155427
66159,"2015-06-18 13:41:26","YJLDC76AR6","1",0.38307226,2.0685902,9.844957
66167,"2015-06-18 13:41:32","YJLDC76AR6","1",-0.17238252,2.585738,8.121132
66176,"2015-06-18 13:41:37","YJLDC76AR6","1",2.528277,3.0262709,10.381259
66187,"2015-06-18 13:41:42","YJLDC76AR6","1",-0.7469909,3.4284968,8.542512
66197,"2015-06-18 13:41:47","YJLDC76AR6","1",-1.7429788,6.3781533,7.795521
66208,"2015-06-18 13:41:59","YJLDC76AR6","1",0.6703765,3.2561142,9.634268
66216,"2015-06-18 13:42:04","YJLDC76AR6","1",1.1300632,0.49799395,8.791509
66224,"2015-06-18 13:42:09","YJLDC76AR6","1",1.1300632,2.1643584,8.331821
66233,"2015-06-18 13:42:14","YJLDC76AR6","1",0.842759,3.8881836,11.549629
66242,"2015-06-18 13:42:19","YJLDC76AR6","1",0,2.183512,7.8529816
66251,"2015-06-18 13:42:24","YJLDC76AR6","1",1.5897499,2.6240451,8.1402855
66261,"2015-06-18 13:42:29","YJLDC76AR6","1",-4.711789,1.8004397,7.3166804
66270,"2015-06-18 13:42:35","YJLDC76AR6","1",-0.2681506,1.5897499,9.653421
66280,"2015-06-18 13:42:40","YJLDC76AR6","1",0.19153613,3.1028855,9.749189
66288,"2015-06-18 13:42:45","YJLDC76AR6","1",1.7812861,2.5091233,10.304645
66297,"2015-06-18 13:42:50","YJLDC76AR6","1",1.4556746,4.4436383,7.2209125
66306,"2015-06-18 13:42:55","YJLDC76AR6","1",0.6703765,1.1683705,7.872135
66315,"2015-06-18 13:43:01","YJLDC76AR6","1",0.93852705,4.6351743,8.561666
66324,"2015-06-18 13:43:06","YJLDC76AR6","1",0.30645782,4.4244847,8.561666
66333,"2015-06-18 13:43:11","YJLDC76AR6","1",1.2066777,3.7732618,8.90643
66341,"2015-06-18 13:43:16","YJLDC76AR6","1",1.685518,2.8538885,8.772355
66350,"2015-06-18 13:43:21","YJLDC76AR6","1",1.1492168,4.0414124,9.80665
66360,"2015-06-18 13:43:26","YJLDC76AR6","1",0.51714754,4.8267107,9.710882
66368,"2015-06-18 13:43:31","YJLDC76AR6","1",1.3982137,2.0111294,9.097966
66377,"2015-06-18 13:43:36","YJLDC76AR6","1",-1.1300632,2.6431987,8.714894
66386,"2015-06-18 13:43:42","YJLDC76AR6","1",0.51714754,2.030283,8.676587
66397,"2015-06-18 13:43:47","YJLDC76AR6","1",0.038307227,1.436521,10.457873
66403,"2015-06-18 13:43:52","YJLDC76AR6","1",3.2369606,4.003105,7.699753
66412,"2015-06-18 13:43:57","YJLDC76AR6","1",1.3215994,0.7086837,9.097966
66421,"2015-06-18 13:44:02","YJLDC76AR6","1",1.0342951,0.7278373,11.070788
66430,"2015-06-18 13:44:08","YJLDC76AR6","1",-0.076614454,0.019153614,9.519346
66441,"2015-06-18 13:44:13","YJLDC76AR6","1",0.7469909,3.3901896,9.634268
66451,"2015-06-18 13:44:18","YJLDC76AR6","1",2.8921957,1.436521,9.097966
66461,"2015-06-18 13:44:23","YJLDC76AR6","1",-1.532289,1.4748282,9.615114
66471,"2015-06-18 13:44:28","YJLDC76AR6","1",1.3599066,1.4556746,10.496181
66481,"2015-06-18 13:44:34","YJLDC76AR6","1",1.4173675,3.064578,8.312668
66491,"2015-06-18 13:44:39","YJLDC76AR6","1",0.6512229,3.6774938,9.825804
66501,"2015-06-18 13:44:44","YJLDC76AR6","1",0.6512229,3.1986535,8.312668
66511,"2015-06-18 13:44:49","YJLDC76AR6","1",1.091756,1.1683705,9.308656
66521,"2015-06-18 13:44:54","YJLDC76AR6","1",2.27928,1.934515,8.293514
66530,"2015-06-18 13:44:59","YJLDC76AR6","1",1.0342951,1.5897499,9.691729
66539,"2015-06-18 13:45:04","YJLDC76AR6","1",-0.095768064,1.0342951,9.442732
66549,"2015-06-18 13:45:09","YJLDC76AR6","1",-0.17238252,2.1260512,8.90643
66559,"2015-06-18 13:45:14","YJLDC76AR6","1",0.4213795,2.9496565,8.408437
66567,"2015-06-18 13:45:19","YJLDC76AR6","1",0.5554548,3.8881836,9.251195
66572,"2015-06-18 13:45:25","YJLDC76AR6","1",0.7278373,2.930503,9.5385
66579,"2015-06-18 13:45:30","YJLDC76AR6","1",1.4939818,1.2641385,8.523358
66584,"2015-06-18 13:45:35","YJLDC76AR6","1",1.0534488,0.7469909,10.208876
66590,"2015-06-18 13:45:40","YJLDC76AR6","1",-0.6512229,1.685518,8.963891
66597,"2015-06-18 13:45:48","YJLDC76AR6","1",0.9768343,2.6240451,9.844957
66646,"2015-06-18 13:46:08","YJLDC76AR6","1",-0.019153614,3.1603463,11.33894
66656,"2015-06-18 13:46:13","YJLDC76AR6","1",1.5705963,3.6008794,9.423578
66667,"2015-06-18 13:46:19","YJLDC76AR6","1",-0.30645782,2.4133554,8.37013
66677,"2015-06-18 13:46:24","YJLDC76AR6","1",1.0534488,2.6431987,8.925584
66687,"2015-06-18 13:46:29","YJLDC76AR6","1",1.0342951,0.842759,9.519346
66697,"2015-06-18 13:46:34","YJLDC76AR6","1",1.8387469,1.7812861,8.90643
66703,"2015-06-18 13:46:39","YJLDC76AR6","1",0.61291564,3.8307228,9.021352
66713,"2015-06-18 13:46:44","YJLDC76AR6","1",0.076614454,3.1986535,9.442732
66723,"2015-06-18 13:46:49","YJLDC76AR6","1",0.47884035,2.1643584,7.5082164
66733,"2015-06-18 13:46:54","YJLDC76AR6","1",-0.34476504,2.1452048,8.082825
66744,"2015-06-18 13:47:00","YJLDC76AR6","1",-0.17238252,3.7732618,8.63828
66754,"2015-06-18 13:47:05","YJLDC76AR6","1",1.0342951,0.076614454,10.151415
66764,"2015-06-18 13:47:10","YJLDC76AR6","1",-1.5897499,1.283292,7.240066
66774,"2015-06-18 13:47:15","YJLDC76AR6","1",0.91937345,4.55856,8.446744
66784,"2015-06-18 13:47:20","YJLDC76AR6","1",-0.91937345,3.083732,8.676587
66797,"2015-06-18 13:47:25","YJLDC76AR6","1",0.82360536,1.6280571,8.887277
66803,"2015-06-18 13:47:30","YJLDC76AR6","1",1.7429788,2.566584,9.500193
66813,"2015-06-18 13:47:36","YJLDC76AR6","1",0.6703765,2.5091233,8.350976
66826,"2015-06-18 13:47:41","YJLDC76AR6","1",1.7429788,1.283292,9.270349
66832,"2015-06-18 13:47:46","YJLDC76AR6","1",-2.030283,0.842759,8.772355
66842,"2015-06-18 13:47:51","YJLDC76AR6","1",1.3599066,5.7843914,7.833828
66852,"2015-06-18 13:47:56","YJLDC76AR6","1",0.4405331,7.795521,8.025364
66862,"2015-06-18 13:48:01","YJLDC76AR6","1",1.2066777,5.66947,9.921572
66872,"2015-06-18 13:48:06","YJLDC76AR6","1",0.05746084,4.4244847,7.5082164
66882,"2015-06-18 13:48:11","YJLDC76AR6","1",1.5514427,3.620033,9.595961
66893,"2015-06-18 13:48:17","YJLDC76AR6","1",0.93852705,2.585738,7.833828
66902,"2015-06-18 13:48:22","YJLDC76AR6","1",0.5554548,4.271256,8.178593
66913,"2015-06-18 13:48:27","YJLDC76AR6","1",-0.61291564,6.5122285,7.067683
66926,"2015-06-18 13:48:32","YJLDC76AR6","1",-0.8810662,6.4164605,5.6886234
66935,"2015-06-18 13:48:37","YJLDC76AR6","1",-1.0342951,6.7803793,8.408437
66945,"2015-06-18 13:48:42","YJLDC76AR6","1",-0.63206923,5.3821654,7.029376
66955,"2015-06-18 13:48:47","YJLDC76AR6","1",0.019153614,5.8226986,9.251195
66964,"2015-06-18 13:48:52","YJLDC76AR6","1",1.3024458,4.9799395,7.2783732
66975,"2015-06-18 13:48:58","YJLDC76AR6","1",-0.5746084,5.9759274,7.393295
66984,"2015-06-18 13:49:03","YJLDC76AR6","1",-2.2026656,3.3901896,6.1100025
66996,"2015-06-18 13:49:08","YJLDC76AR6","1",-0.7278373,5.592855,6.8761473
67000,"2015-06-18 13:49:13","YJLDC76AR6","1",0.93852705,4.4819455,8.389283
67010,"2015-06-18 13:49:18","YJLDC76AR6","1",1.5897499,2.2409728,8.963891
67019,"2015-06-18 13:49:23","YJLDC76AR6","1",2.2984335,3.620033,8.293514
67029,"2015-06-18 13:49:28","YJLDC76AR6","1",-0.4405331,7.067683,6.090849
67038,"2015-06-18 13:49:33","YJLDC76AR6","1",0.2681506,4.76925,6.033388
